"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"China","CHN","Population, total","SP.POP.TOTL","667070000","660330000","665770000","682335000","698355000","715185000","735400000","754550000","774510000","796025000","818315000","841105000","862030000","881940000","900350000","916395000","930685000","943455000","956165000","969005000","981235000","993885000","1008630000","1023310000","1036825000","1051040000","1066790000","1084035000","1101630000","1118650000","1135185000","1150780000","1164970000","1178440000","1191835000","1204855000","1217550000","1230075000","1241935000","1252735000","1262645000","1271850000","1280400000","1288400000","1296075000","1303720000","1311020000","1317885000","1324655000","1331260000","1337705000","1345035000","1354190000","1363240000","1371860000","1379860000","1387790000","1396215000","1402760000","1407745000","1411100000","1412360000","1412175000","1410710000","",
"Cote d'Ivoire","CIV","Population, total","SP.POP.TOTL","3673666","3810151","3956939","4112061","4273952","4442377","4617519","4799744","4990021","5192221","5411567","5650868","5909716","6184944","6474057","6776297","7057958","7321950","7603130","7902267","8220714","8556596","8907936","9272744","9650516","10040483","10440917","10851475","11275189","11719771","12189778","12683870","13200310","13735951","14287201","14855565","15442312","16047170","16663948","17215935","17699004","18178913","18654771","19125542","19595000","20068458","20546802","21030558","21514439","21997940","22488065","22982000","23467078","23939775","24527395","25246342","25989405","26733372","27464173","28193009","28915449","29639736","30395002","31165654","",
"Cameroon","CMR","Population, total","SP.POP.TOTL","5159057","5239273","5338620","5456623","5578257","5704686","5837295","5977318","6125863","6283462","6449793","6624408","6806872","6996660","7193583","7397120","7597962","7796501","8011921","8239641","8512219","8816377","9028678","9215397","9475078","9761730","10060342","10370749","10684968","11002745","11331821","11667180","12006353","12353131","12704903","13058516","13414757","13775214","14144860","14525140","14912631","15309490","15725528","16160340","16610487","17074594","17550407","18049896","18574056","19113974","19668066","20232304","20809529","21402376","22059893","22763414","23454161","24128601","24806383","25506095","26210558","26915758","27632771","28372687","",
"Congo, Dem. Rep.","COD","Population, total","SP.POP.TOTL","15264846","15662374","16075724","16507599","16955327","17427802","17931929","18462782","19012189","19570445","20137436","20695569","21251160","21827665","22418878","23021101","23624031","24229061","24992689","25886782","26711099","27500515","28338190","29250963","30245081","31264816","32265196","33298904","34382752","35486866","36684063","37925817","39228910","40656336","42626876","44433704","45296124","46029902","47297600","48912971","50507442","52132646","53750524","55343867","56997741","58775724","60615908","62477752","64390664","66412044","68563038","70849311","73254618","75789395","78403242","81035531","83956415","87083398","90047644","92947442","95989998","99148932","102396968","105789731","",
"Congo, Rep.","COG","Population, total","SP.POP.TOTL","1056732","1084389","1113175","1143263","1174816","1207880","1242534","1278691","1316519","1356182","1397638","1441039","1486468","1533680","1582301","1627032","1667225","1707568","1748089","1788524","1828985","1869759","1910430","1950321","1999528","2059311","2120602","2183473","2247653","2313558","2380560","2449229","2519465","2595124","2673144","2749461","2826785","2887862","2952061","3032874","3151345","3272537","3350771","3445753","3565554","3696393","3837409","3980430","4113517","4281219","4462290","4609724","4740450","4857099","4975880","5097581","5222536","5351011","5483118","5616661","5752791","5892183","6035104","6182885","",
"Colombia","COL","Population, total","SP.POP.TOTL","15606209","16095203","16599029","17113823","17637411","18169050","18702688","19235618","19766796","20291942","20811782","21319096","21819563","22325374","22833469","23344644","23858810","24393494","24950337","25515626","26104498","26713267","27338331","27988173","28642690","29268470","29879112","30499467","31130524","31776279","32440069","33098372","33760571","34441473","35127410","35804662","36462745","37121149","37792165","38454863","39089934","39709262","40324680","40937429","41543171","42128977","42691084","43235374","43758808","44271541","44777319","45259614","45715810","46151584","46565429","46969940","47437512","48131078","49024465","49907985","50629997","51188173","51737944","52321152","",
"Comoros","COM","Population, total","SP.POP.TOTL","197700","201201","204702","208185","211644","214967","218663","223859","230244","237001","244185","251865","260077","268820","278075","287692","297538","307579","317688","327791","337721","347382","357139","367233","377637","388352","399318","410439","421687","433103","444596","455556","465113","473682","482142","490586","499107","507777","516597","525886","536080","547220","558923","569798","580704","592677","604753","616927","629307","641947","654836","668056","681630","696192","711503","726682","741741","756669","771590","786578","802163","818174","834188","850387","",
"Cabo Verde","CPV","Population, total","SP.POP.TOTL","210024","215087","221919","229373","237006","244856","252976","261404","270164","279248","287885","294046","297386","299881","302570","305847","309455","312834","316147","319480","323301","327846","332724","337654","342505","347365","352312","357302","362329","367803","375428","384586","393415","401965","410228","418104","425581","432798","439784","446519","453317","460293","467046","473383","479370","485115","490728","496190","501355","506141","509784","511447","511955","512225","512326","512394","512554","512893","513415","514104","514679","516649","519741","522331","",
"Costa Rica","CRI","Population, total","SP.POP.TOTL","1327496","1377920","1429445","1481604","1533960","1586208","1638116","1689523","1739731","1789276","1838949","1888539","1938248","1988343","2039643","2092719","2147774","2205025","2264510","2326490","2390633","2456637","2524806","2595153","2667595","2741894","2817216","2892699","2968103","3043827","3121706","3202176","3284258","3367434","3451122","3535176","3619013","3701711","3782838","3862101","3937739","4008947","4075705","4138784","4200078","4261240","4321340","4380248","4440056","4499791","4555962","4609833","4663934","4716147","4767119","4818038","4866998","4913177","4957818","4999553","5034320","5059988","5081765","5105525","",
"Caribbean small states","CSS","Population, total","SP.POP.TOTL","1713405","1751114","1789993","1831474","1871841","1911273","1951498","1992341","2033780","2075219","2112837","2145975","2170696","2187173","2202042","2216264","2230099","2243168","2255006","2265603","2277343","2290222","2302968","2316087","2329434","2343204","2356746","2368654","2380540","2392809","2402741","2415594","2434849","2454690","2475465","2500748","2528256","2555837","2583369","2610521","2636455","2661520","2686785","2712281","2735189","2754974","2774985","2795667","2816379","2836793","2855621","2873088","2893251","2917125","2941203","2964524","2987438","3009507","3048465","3079149","3092577","3111609","3131505","3152394","",
"Cuba","CUB","Population, total","SP.POP.TOTL","7238081","7387117","7541098","7701660","7866020","8030797","8193450","8352625","8509522","8666640","8824382","8979085","9123891","9255328","9374183","9479726","9571242","9648440","9711980","9763355","9804796","9849320","9912681","9991026","10073299","10157228","10244247","10335342","10432585","10533243","10631799","10717640","10785801","10841031","10886021","10925362","10962010","10997934","11034712","11072230","11109109","11144132","11177418","11209383","11238756","11262554","11278550","11287272","11291762","11294719","11297409","11301571","11303175","11298167","11285775","11275065","11265612","11247829","11227118","11202846","11176354","11122168","11059820","11019931","",
"Curacao","CUW","Population, total","SP.POP.TOTL","124826","126125","128414","130860","133148","135266","136682","138140","140298","142581","144739","147389","147710","146912","148351","149129","149399","149459","148341","147851","148041","148629","150101","151159","151940","152711","152662","151456","149254","146937","145400","144403","143912","144299","144630","145139","146306","146956","144472","139428","133860","129047","129205","131897","134192","137658","141239","144056","145880","146833","148703","150831","152088","153822","155909","157980","159664","160175","159336","157441","154947","152369","149996","147862","",
"Cayman Islands","CYM","Population, total","SP.POP.TOTL","8428","8601","8781","8970","9166","9361","9560","9769","9971","10165","10517","11098","11764","12438","13114","13788","14454","15105","15727","16351","17079","17905","18750","19598","20454","21324","22197","23073","23951","24874","25999","27294","28621","29976","31352","32743","34143","35543","36922","38284","39674","41089","42514","43934","45352","46788","48232","49687","51151","52618","54099","55606","57136","58655","60160","61642","63100","64535","65941","67327","68684","70108","71591","73038","",
"Cyprus","CYP","Population, total","SP.POP.TOTL","586490","595514","601466","607252","612521","617736","623390","629251","635157","641189","647446","654050","661063","665937","663254","659405","662032","667101","672249","677549","683076","688893","696497","707225","719334","731277","743105","754785","766235","777420","788351","798944","810341","826034","844667","862695","880290","897568","914548","931234","947667","964127","981440","999590","1017875","1036151","1054418","1072714","1091026","1109371","1127816","1146493","1165397","1183895","1201801","1219502","1237112","1254275","1270737","1286671","1302247","1317309","1331370","1344976","",
"Czechia","CZE","Population, total","SP.POP.TOTL","9602006","9586651","9624660","9670685","9727804","9779358","9821040","9852899","9876346","9896580","9858071","9826815","9867632","9922266","9988459","10058620","10125939","10186755","10242098","10292341","10304193","10300591","10314826","10323856","10330213","10337118","10342227","10347318","10355276","10361068","10333355","10308578","10319123","10329855","10333587","10327253","10315241","10304131","10294373","10283860","10255063","10216605","10196916","10193998","10197101","10211216","10238905","10298828","10384603","10443936","10474410","10496088","10510785","10514272","10525347","10546059","10566332","10594438","10629928","10671870","10697858","10505772","10672118","10864042","",
"Germany","DEU","Population, total","SP.POP.TOTL","72814900","73377632","74025784","74714353","75318337","75963695","76600311","76951336","77294314","77909682","78169289","78312842","78688452","78936666","78967433","78673554","78336950","78159814","78091820","78126350","78288576","78407907","78333366","78128282","77858685","77684873","77720436","77839920","78144619","78751283","79433029","80013896","80624598","81156363","81438348","81678051","81914831","82034771","82047195","82100243","82211508","82349925","82488495","82534176","82516260","82469422","82376451","82266372","82110097","81902307","81776930","80274983","80425823","80645605","80982500","81686611","82348669","82657002","82905782","83092962","83160871","83196078","83797985","83280000","",
"Djibouti","DJI","Population, total","SP.POP.TOTL","86024","89390","93283","97872","103198","109092","115269","121649","128250","136078","145175","155136","166256","178449","192613","209908","230737","254613","280031","304513","325815","343047","356880","369553","384053","402687","426341","454399","484523","523355","579538","631092","626010","614245","626710","633074","648348","671817","699352","724218","747318","771313","795574","813519","826124","839167","855764","874528","892734","911527","930251","948558","966747","984824","1002717","1020313","1037653","1054841","1071882","1088709","1105188","1121248","1137096","1152944","",
"Dominica","DMA","Population, total","SP.POP.TOTL","59372","60209","60948","61739","62587","63505","64507","65585","66732","67934","68908","69532","70060","70585","71091","71570","72017","72406","72724","72959","73083","72986","72688","72365","72056","71744","71406","71023","70608","70153","69627","69296","69325","69433","69477","69469","69410","69299","69124","68870","68511","68288","68367","68531","68649","68734","68806","68847","68854","68864","68859","69053","69118","69715","70373","70410","69606","68496","68174","67880","67573","67202","66826","66510","",
"Denmark","DNK","Population, total","SP.POP.TOTL","4579603","4611687","4647727","4684483","4722072","4759012","4797381","4835354","4864883","4891860","4928757","4963126","4991596","5021861","5045297","5059862","5072596","5088419","5104248","5116801","5123027","5121572","5117810","5114297","5111619","5113691","5120534","5127024","5129516","5132594","5140939","5154298","5171370","5188628","5206180","5233373","5263074","5284991","5304219","5321799","5339616","5358783","5375931","5390574","5404523","5419432","5437272","5461438","5493621","5523095","5547683","5570572","5591572","5614932","5643475","5683483","5728010","5764980","5793636","5814422","5831404","5856733","5903037","5946952","",
"Dominican Republic","DOM","Population, total","SP.POP.TOTL","3268336","3373233","3479936","3588287","3698559","3808963","3921847","4038928","4157189","4277035","4399290","4524234","4651883","4782227","4914197","5046776","5180404","5315443","5451882","5589690","5729037","5868453","6007114","6147248","6289040","6430404","6571208","6712515","6855734","7002295","7151166","7299853","7447474","7594572","7741694","7888115","8032894","8174078","8310362","8446208","8584190","8720283","8852235","8980620","9104892","9225034","9341183","9455658","9573130","9695265","9820175","9945621","10070411","10193833","10315528","10434829","10551430","10666843","10782053","10894043","11008300","11123476","11230734","11331265","",
"Algeria","DZA","Population, total","SP.POP.TOTL","11424922","11628883","11800771","11982118","12179813","12365976","12590069","12876118","13172614","13475960","13783719","14098936","14427072","14771147","15133502","15678596","16409170","17015994","17506974","18036655","18607174","19220704","19872348","20558115","21271969","22008544","22745499","23443624","24109536","24754485","25375810","25987928","26628568","27277048","27887279","28470191","29033044","29579301","30054133","30474354","30903893","31331221","31750835","32175818","32628286","33109249","33623506","34189416","34816961","35490445","36188236","36903376","37646166","38414171","39205031","40019529","40850721","41689299","42505035","43294546","44042091","44761099","45477389","46164219","",
"East Asia & Pacific (excluding high income)","EAP","Population, total","SP.POP.TOTL","895961535","895534581","907473022","930810837","953783472","977366928","1004271490","1030471073","1057697808","1086662478","1116395242","1146649477","1175176176","1202715705","1228688547","1252174248","1273922384","1294303118","1314775496","1335637622","1356226475","1377473854","1401081634","1424971585","1447871073","1471340337","1496124294","1522374575","1549038591","1575101307","1600739173","1625498444","1648872786","1671604370","1694244506","1716602413","1738632397","1760512371","1781546477","1800932833","1819011507","1836260943","1852659155","1868409996","1883675167","1898853723","1914002124","1929185103","1944305887","1959017463","1973602166","1989106668","2006566431","2023850158","2040383789","2056050896","2071486140","2087238522","2100698838","2112289891","2121866294","2128553744","2133560408","2137527754","",
"Early-demographic dividend","EAR","Population, total","SP.POP.TOTL","968909356","994176841","1020130725","1046697479","1074021283","1101264258","1128474732","1156817324","1185936827","1215536741","1245960808","1276141826","1307009646","1339671375","1373219822","1407636737","1442753987","1478479688","1514572817","1552194676","1591961664","1634107159","1677532811","1721104015","1765269111","1810019176","1855391159","1901405537","1947928955","1994666990","2044241467","2092102478","2138854231","2184656122","2228719169","2273692181","2321284245","2369042441","2416119734","2462704115","2509431470","2556335424","2601917557","2647109296","2693184997","2738846905","2784726644","2830531957","2875943965","2921563644","2967104472","3013476947","3058869436","3103677284","3146800078","3190318707","3233033717","3274060446","3314245247","3355014793","3396051187","3432026092","3470644834","3511076811","",
"East Asia & Pacific","EAS","Population, total","SP.POP.TOTL","1042838451","1044749888","1059216594","1085095424","1110651177","1136869154","1166223463","1194632157","1224396287","1256164039","1288720409","1322855661","1354227576","1384604432","1413495985","1439633651","1463746788","1486396758","1509072365","1532260865","1555055134","1578588010","1604459614","1630462292","1655262815","1680467328","1706848193","1734703332","1762935833","1790596763","1817735540","1844189720","1869074614","1893258583","1917389243","1941185229","1964830092","1988067577","2010443502","2030912462","2050149617","2068682053","2086144389","2102761941","2118747885","2134573057","2150688938","2167046538","2183472438","2199148703","2214613815","2230826576","2249081393","2267072102","2284385542","2300844269","2317076058","2333475520","2347576325","2359771090","2369438682","2375144416","2379648296","2384463611","",
"Europe & Central Asia (excluding high income)","ECA","Population, total","SP.POP.TOTL","128810451","131617926","134400419","137187829","139973968","142668572","145371529","148087983","150777578","153462746","155918823","158428591","161049046","163601189","166121814","168594458","171119860","173726978","176315643","178774505","181309432","183746315","186272610","188979984","191755370","194525195","197344981","200194022","202990335","205733205","208212866","210169114","212032318.5","213395945","214329900.5","215114964","216002099.5","216672058.5","217104724.5","217579952","218486597.5","219435055.5","220400259","221399692","222413289.5","223360134.5","224417513","225016071.5","226524480","228250911","230106440","231988171.5","233914075","235981960","238112723.5","240230296.5","242407763.5","244530211.5","246654915.5","248858341","250655325.5","252183790","250834021.5","249146208","",
"Europe & Central Asia","ECS","Population, total","SP.POP.TOTL","667887811","675549997","683342108","691189404","699058435","706683416","713443573","720146318","726634174","733044421","738724073","744432963","750728655","756775460","762546552","768080678","773619713","779117798","784556247","789862141","795362835","800542417","805247476","809947364","814856984","819874109","825034695","830294805","835601587","840881506","845290251","849169384","852664500.5","855554221","857724585.5","859504753","861073424.5","862335055.5","863317612.5","864306932","865392493.5","866587785.5","868204040","870443479","872926624.5","875366720.5","877911050","880338408.5","883840223","887281039","890448752","892361936.5","895889705","900033335","904324263.5","908458970.5","912576858.5","916236104.5","919738352.5","922811778","925088545.5","925075848","925385334.5","924969865","",
"Ecuador","ECU","Population, total","SP.POP.TOTL","4590891","4722331","4859269","5001716","5149918","5303963","5463748","5629057","5799680","5975236","6155387","6340052","6529034","6722033","6918573","7118251","7320912","7526819","7736167","7948869","8165877","8386910","8611298","8840417","9074782","9311154","9545998","9779290","10010808","10241852","10473673","10702380","10930128","11154274","11372197","11590514","11810950","12031127","12251184","12470795","12689206","12910740","13138472","13372306","13608701","13846163","14086131","14328773","14575202","14825954","15076695","15326227","15572194","15807128","16035124","16266225","16505139","16759519","17049547","17340021","17546065","17682454","17823897","17980083","",
"Egypt, Arab Rep.","EGY","Population, total","SP.POP.TOTL","26896479","27600898","28337013","29091869","29858922","30629174","31406541","32196360","32998319","33811615","34623990","35433368","36258328","37102043","37969667","38875327","39795557","40748870","41761431","42818628","43950413","45147224","46407611","47786402","49247334","50734968","52206295","53674435","55187681","56710642","58396618","60028997","61480660","62915681","64285589","65652622","67028048","68431740","69943294","71520954","73083284","74652029","76239137","77853548","79477443","81101004","82700403","84276225","85864789","87501636","89196072","91093059","93161001","95333553","97528654","99597342","101644589","103696057","105682094","107553158","109315124","110957008","112618250","114535772","",
"Euro area","EMU","Population, total","SP.POP.TOTL","270148970","272472951","274815182","277205348","279621056","282028347","284299197","286298506","288206171","290179378","291834356","293516097","295527442","297413652","299065145","300516726","301804324","303021757","304275086","305541545","306894340","308127421","308901125","309543455","310046458","310617659","311372728","312223048","313272522","314634075","316087007","317407910","318742973","320053176","321024031","321808185","322568383","323306275","323976358","324781951","325789631","326858314","328438861","330200359","331997265","333700554","335243820","336965048","338594025","339676755","340460814","339719975","340447763","341575309","342713336","343698622","344655545","345333240","346105839","346454019","346922366","347094588","348627172","349670802","",
"Eritrea","ERI","Population, total","SP.POP.TOTL","972547","995573","1019788","1045092","1071287","1098335","1124957","1152339","1181737","1212005","1243453","1276154","1309235","1342669","1375688","1408210","1443807","1482565","1522378","1563332","1605797","1649939","1695461","1736160","1771730","1807816","1845164","1888669","1938255","1987017","2032737","1919571","1798748","1856006","1913915","2025267","2128464","2152135","2180419","2212780","2247031","2312079","2392978","2493903","2598284","2661215","2703502","2743222","2816327","2887885","2945186","2998485","3036988","3074360","3095173","3105546","3124698","3150347","3192760","3240194","3291271","3350183","3409447","3470390","",
"Spain","ESP","Population, total","SP.POP.TOTL","30455000","30739250","31023366","31296651","31609195","31954292","32283194","32682947","33113134","33441054","33814531","34224490","34604469","34988947","35373335","35757900","36137812","36511638","36864898","37191330","37491165","37758631","37986012","38171525","38330364","38469512","38584624","38684815","38766939","38827764","38867322","38966376","39157685","39361262","39549108","39724050","39889852","40057389","40223509","40386875","40567864","40850412","41431558","42187645","42921895","43653155","44397319","45226803","45954106","46362946","46576897","46742697","46773055","46620045","46480882","46444832","46484062","46593236","46797754","47134837","47365655","47415794","47759127","48347910","",
"Estonia","EST","Population, total","SP.POP.TOTL","1211537","1225077","1241623","1258857","1277086","1294566","1308597","1318946","1331214","1345249","1360076","1376955","1392518","1405951","1418169","1429352","1439576","1450211","1460188","1468333","1477219","1487666","1498414","1508745","1518617","1528781","1540190","1552221","1561900","1568131","1569174","1561314","1533091","1494128","1462514","1436634","1415594","1399535","1386156","1390244","1396985","1388115","1379350","1370720","1362550","1354775","1346810","1340680","1337090","1334515","1331475","1327439","1322696","1317997","1314545","1315407","1315790","1317384","1321977","1326898","1329522","1330932","1348840","1370286","",
"Ethiopia","ETH","Population, total","SP.POP.TOTL","21376693","21906102","22465126","23051637","23666548","24310612","24952689","25620276","26337930","27072571","27829128","28600106","29374608","30166785","30957273","31723252","32534418","33167272","33734592","34238652","34428514","35304012","36701290","37740817","38735722","39842136","41037656","42460039","44150825","45879690","47609755","49717198","51853747","53708891","55611508","57537335","59467635","61404539","63363524","65374561","67411494","69487762","71635517","73832663","76077206","78367470","80703490","83103217","85543668","88007636","90538514","93149970","95798767","98438751","101115610","103867135","106718162","109666481","112664152","115737383","118917671","122138588","125384287","128691692","",
"European Union","EUU","Population, total","SP.POP.TOTL","357710931","360682976","363708887","366840786","370055037","373129199","376058575","378902917","381579577","384226226","386406167","388553371","391197266","393739994","396124649","398397694","400490355","402445831","404312949","406112162","407986180","409724709","410988238","412072128","412998350","413962998","415087013","416296769","417653885","419102379","420525030","421741276","422968989","424344744","425404352","426210050","426905134","427547651","428120105","428825949","429339162","429906426","430893295","432426935","434050396","435591941","437007921","438478066","439886269","440928484","441546320","440766686","441416943","442486978","443589388","444550397","445487171","446177810","446953938","447303223","447653554","446564156","447847220","448804042","",
"Fragile and conflict affected situations","FCS","Population, total","SP.POP.TOTL","245446477","250748792","256265091","261957739","267809728","273796544","279902341","286184636","292679186","299325597","306107595","313117526","320326696","327859174","335724633","343774977","352018011","360321094","369243969","378556492","387280079","395605163","404570090","414032302","423879999","434067883","444223377","454559470","464963348","475799732","488697502","499975816","512731689","526665569","541618452","556179028","568965099","581551866","594968744","608935664","622883185","637301077","653056220","669470707","685830138","702638957","719788972","736917394","754858953","773810618","793160547","812764221","832872724","853223055","873158163","892657785","912614026","933013886","953648681","974824119","996691242","1018693078","1038158122","1058789534","",
"Finland","FIN","Population, total","SP.POP.TOTL","4429634","4461005","4491443","4523309","4548543","4563732","4580869","4605744","4626469","4623785","4606307","4612124","4639657","4666081","4690574","4711440","4725664","4738902","4752528","4764690","4779535","4799964","4826933","4855787","4881803","4902206","4918154","4932123","4946481","4964371","4986431","5013740","5041992","5066447","5088333","5107790","5124573","5139835","5153498","5165474","5176209","5188008","5200598","5213014","5228172","5246096","5266268","5288720","5313399","5338871","5363352","5388272","5413971","5438972","5461512","5479531","5495303","5508214","5515525","5521606","5529543","5541017","5556106","5583911","",
"Fiji","FJI","Population, total","SP.POP.TOTL","404887","417406","430536","444276","458324","472575","486487","498873","510002","520797","531188","541121","550499","559222","567489","575906","585534","597805","612091","626862","641975","657471","673414","689835","706716","723761","739306","750540","758697","766321","773316","779656","785346","790369","794771","798746","803789","812139","822258","831828","840909","849596","858049","866286","874366","882379","890365","897832","903399","907239","910419","912989","914918","916352","917585","918578","919166","918759","917180","914899","914963","916711","919422","924145","",
"France","FRA","Population, total","SP.POP.TOTL","47412964","47905982","48389516","48877567","49401492","49877725","50311637","50722791","51112980","51536014","52007169","52499553","52962356","53392161","53746571","54002853","54232383","54486467","54734030","54979851","55274184","55603353","55806789","56108330","56383085","56665619","56956002","57266167","57598186","57943062","58261012","58554242","58846584","59103094","59324863","59541294","59754504","59968066","60190684","60501986","60918661","61364377","61812142","62249855","62707588","63180854","63622342","64016890","64375116","64706436","65026211","65340830","65657659","65997932","66312067","66548272","66724104","66918020","67158348","67382061","67601110","67842811","68065015","68287487","",
"Faroe Islands","FRO","Population, total","SP.POP.TOTL","34127","34557","34963","35391","35847","36347","36816","37202","37560","37907","38269","38703","39172","39636","40106","40568","41020","41468","41968","42521","43072","43626","44171","44670","45141","45707","46131","46701","47355","47958","47740","47446","47287","46473","44694","43610","43580","44131","44674","45146","45754","46635","47335","48032","48384","48359","48335","48378","48547","48791","48657","48543","48291","48246","48428","48901","49464","50182","50998","51795","52571","53315","53952","54482","",
"Micronesia, Fed. Sts.","FSM","Population, total","SP.POP.TOTL","43061","44610","46218","47744","49181","50684","52258","53846","55457","57145","58922","60636","62278","63986","65749","67428","69049","70753","72754","75054","77407","79794","82219","84680","87176","89707","92266","94844","97097","99003","100888","102754","104806","107066","109075","110230","110710","111071","111377","111680","112044","112365","112448","112285","111925","111412","110729","109880","108936","107957","107540","107698","107890","108121","108396","108716","109075","109481","109909","110282","110916","111624","112114","112630","",
"Gabon","GAB","Population, total","SP.POP.TOTL","512316","518266","524649","531452","538657","546308","554463","563108","572257","583276","595846","608348","620960","633995","647691","662197","677628","693984","711245","729375","748389","768385","789286","811005","833501","856726","880705","905479","931020","957138","983734","1010818","1038380","1066405","1094720","1123213","1152015","1181439","1211736","1243016","1275572","1309589","1345135","1382350","1421609","1463495","1508337","1556237","1607175","1661556","1719879","1781985","1846889","1913059","1978399","2040989","2100306","2156900","2212318","2267706","2322539","2376722","2430747","2484789","",
"United Kingdom","GBR","Population, total","SP.POP.TOTL","52400000","52800000","53250000","53650000","54000000","54348050","54648500","54943600","55211700","55441750","55663250","55896223","56086065","56194527","56229974","56225800","56211968","56193492","56196504","56246951","56314216","56333829","56313641","56332848","56422072","56550268","56681396","56802050","56928327","57076711","57247586","57424897","57580402","57718614","57865745","58019030","58166950","58316954","58487141","58682466","58892514","59119673","59370479","59647577","59987905","60401206","60846820","61322463","61806995","62276270","62766365","63258810","63700215","64128273","64602298","65116219","65611593","66058859","66460344","66836327","67081234","67026292","67791000","68350000","",
"Georgia","GEO","Population, total","SP.POP.TOTL","3645600","3703600","3760300","3816100","3870300","3921600","3966700","4005800","4042300","4080300","4119900","4163000","4205300","4242500","4279500","4311200","4342400","4372100","4397700","4430200","4467700","4504500","4542800","4582900","4622200","4662900","4704500","4743500","4790700","4803300","4802000","4835900","4873500","4911100","4836076","4657722","4491699","4349913","4243607","4157192","4077131","4014373","3978515","3951736","3927340","3902469","3880347","3860158","3848449","3814419","3786695","3756441","3728874","3717668","3719414","3725276","3727505","3728004","3726549","3720161","3722716","3708610","3712502","3715483","",
"Ghana","GHA","Population, total","SP.POP.TOTL","6961215","7162667","7337375","7514714","7695739","7882606","8074521","8271913","8475729","8690383","8925813","9176264","9438187","9714617","10000523","10294308","10594913","10911871","11248450","11597255","11941448","12281712","12643819","13029836","13370590","13661229","13965217","14289108","14636568","15006813","15394648","15787496","16184855","16589519","16993190","17399017","17810181","18238958","18688036","19149864","19637087","20167069","20729388","21296705","21868298","22449438","23040702","23642279","24249946","24862664","25474995","26095088","26734268","27386193","28041592","28696068","29356742","30008354","30637585","31258945","31887809","32518665","33149152","33787914","",
"Gibraltar","GIB","Population, total","SP.POP.TOTL","21839","21872","22197","22753","23315","23878","24444","25015","25578","26120","26634","27020","27290","27537","27755","27951","28134","28300","28446","28575","28675","28740","28765","28733","28643","28512","28328","28096","27839","27544","27200","26898","26878","27070","27239","27377","27487","27582","27650","27692","27709","27657","27831","28274","28715","29163","29594","30006","30413","30823","31248","31660","32029","32407","32813","33193","33658","34245","34854","35494","36173","36858","37609","38471","",
"Guinea","GIN","Population, total","SP.POP.TOTL","3556749","3619551","3684273","3750954","3819722","3890716","3964155","4040153","4118550","4198300","4277535","4355200","4431292","4506324","4580510","4653876","4727022","4801128","4877854","4959283","5047419","5143288","5247672","5359814","5480096","5610373","5750668","5900198","6056574","6215811","6434374","6697166","6914366","7128177","7345107","7553249","7770035","7931370","8081990","8265123","8428832","8539960","8674066","8870781","9062726","9245844","9441171","9662281","9898870","10143534","10396086","10656810","10921581","11191873","11472924","11767070","12073030","12385659","12704774","13034346","13371183","13710513","14055137","14405468","",
"Gambia, The","GMB","Population, total","SP.POP.TOTL","398060","408930","420163","431757","443687","455952","468516","481588","495269","509440","524105","539388","555370","571991","589085","606821","625667","645770","667103","689781","713913","739125","765753","794525","825631","858874","894019","931091","970160","1011357","1054696","1099959","1145582","1188365","1227226","1264313","1301410","1338889","1376987","1415779","1455084","1495011","1535691","1577611","1621312","1667037","1715275","1765774","1817852","1871422","1926630","1983784","2043094","2103820","2164528","2224529","2283769","2342189","2399632","2456844","2515733","2576010","2636470","2697845","",
"Guinea-Bissau","GNB","Population, total","SP.POP.TOTL","577633","582532","589474","594418","588543","575005","566908","569011","578170","581610","584403","586221","586620","592808","613338","650966","694191","741789","791694","819867","829303","842432","855891","869592","883519","897697","912126","926862","942061","957789","973669","994639","1024356","1058745","1092031","1119949","1143535","1165545","1187473","1210206","1234741","1261273","1289307","1318806","1349563","1381585","1415303","1450986","1488054","1526377","1566347","1608076","1651417","1695973","1741122","1786457","1831893","1877072","1922168","1967696","2013255","2058841","2105529","2153339","",
"Equatorial Guinea","GNQ","Population, total","SP.POP.TOTL","269807","274896","280286","285965","291942","298238","304859","311805","318849","322517","320803","315940","309468","302281","294953","287901","281031","276779","276531","279846","288644","303252","322216","343421","364899","385547","404728","422522","439651","456808","474274","492217","510770","530023","550138","571264","593492","616893","641474","667214","703279","749836","797957","847862","899917","947367","990343","1036044","1084530","1135673","1189085","1241835","1293483","1346218","1399828","1453923","1508186","1562396","1616422","1670177","1716468","1758786","1803545","1847549","",
